full_name,name,owner,html_url,description,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,subscribers_count,watchers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,open_issues_count,total_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count
googlesamples/android-media-controller,android-media-controller,googlesamples,https://github.com/googlesamples/android-media-controller,,2017-06-22 19:17:37+00:00,2024-08-07 12:00:13+00:00,2023-11-09 11:19:02+00:00,12122,Kotlin,131,437,28,437,131,False,316296,"{'Kotlin': '63.81%', 'Java': '36.19%'}",50,42,8,50,37,4,41,34,181,2017-05-26 17:59:16+00:00,2023-11-09 11:19:02+00:00,2,(),17
googlesamples/engage-sdk-samples,engage-sdk-samples,googlesamples,https://github.com/googlesamples/engage-sdk-samples,"Set of sample apps that demonstrate how to integrate the SDK in your app to publish different types of content. These apps are a great way to learn how to use the SDK, to get started with the integration in your own app, as well as some best practices.",2023-08-25 04:18:25+00:00,2024-05-30 09:34:44+00:00,2024-04-05 17:17:29+00:00,286,Java,2,4,7,4,2,False,240386,"{'Java': '50.68%', 'Kotlin': '49.32%'}",3,2,1,3,2,1,3,2,9,2023-09-13 15:09:44+00:00,2024-04-05 07:18:39+00:00,2,(),2
googlesamples/android-vulkan-tutorials,android-vulkan-tutorials,googlesamples,https://github.com/googlesamples/android-vulkan-tutorials,A set of samples to illustrate Vulkan API on Android,2016-03-03 08:05:32+00:00,2024-08-07 11:24:41+00:00,2023-11-16 14:37:23+00:00,1141,C++,161,849,46,849,161,False,291515,"{'C++': '88.15%', 'C': '4.59%', 'CMake': '3.33%', 'Java': '1.99%', 'GLSL': '1.20%', 'Makefile': '0.74%'}",92,86,6,92,52,1,53,41,105,2016-02-11 18:52:52+00:00,2023-02-22 00:36:09+00:00,2,(),7
googlesamples/android-custom-lint-rules,android-custom-lint-rules,googlesamples,https://github.com/googlesamples/android-custom-lint-rules,This sample demonstrates how to create a custom lint checks and corresponding lint tests,2015-08-27 20:01:41+00:00,2024-08-08 20:10:50+00:00,2024-07-18 21:01:31+00:00,5925,Kotlin,170,949,38,949,170,False,17848,{'Kotlin': '100.00%'},92,70,22,92,55,2,57,49,116,2015-07-09 10:00:28+00:00,2024-07-18 21:01:28+00:00,3,(),14
googlesamples/glass-enterprise-samples,glass-enterprise-samples,googlesamples,https://github.com/googlesamples/glass-enterprise-samples,Glass Enterprise Edition 2 Samples,2020-01-15 05:41:57+00:00,2024-07-23 19:15:03+00:00,2023-03-15 17:16:51+00:00,733,Java,93,123,27,123,93,True,542450,"{'Java': '92.30%', 'Kotlin': '7.09%', 'Python': '0.46%', 'Shell': '0.15%'}",46,37,9,46,27,2,29,27,72,2018-10-17 19:50:25+00:00,2023-03-15 17:16:51+00:00,1,(),7
googlesamples/assistant-sdk-python,assistant-sdk-python,googlesamples,https://github.com/googlesamples/assistant-sdk-python,Samples and bindings for the Google Assistant API,2017-04-25 22:06:02+00:00,2024-07-30 05:55:25+00:00,2022-08-10 14:54:44+00:00,676,Python,322,914,91,914,322,True,113581,{'Python': '100.00%'},451,305,146,451,44,9,53,38,332,2017-02-08 23:08:35+00:00,2020-02-10 02:22:41+00:00,15,"('assistant', 'protocol-buffers', 'python')",15
googlesamples/vulkan-basic-samples,vulkan-basic-samples,googlesamples,https://github.com/googlesamples/vulkan-basic-samples,,2016-06-08 18:27:54+00:00,2024-08-02 05:04:02+00:00,2021-04-28 23:42:36+00:00,59920,C++,116,494,51,494,116,False,3355495,"{'C++': '77.78%', 'C': '14.90%', 'Python': '1.88%', 'CMake': '1.72%', 'Perl': '1.06%', 'HTML': '1.05%', 'GLSL': '0.67%', 'JavaScript': '0.63%', 'Shell': '0.24%', 'Batchfile': '0.06%', 'CSS': '0.03%'}",37,35,2,37,15,0,15,14,10404,2014-07-24 14:36:15+00:00,2021-04-28 22:07:02+00:00,1,(),134
googlesamples/google-services,google-services,googlesamples,https://github.com/googlesamples/google-services,A collection of quickstart samples demonstrating the Google APIs for Android and iOS,2015-05-20 22:45:11+00:00,2024-08-08 05:17:11+00:00,2024-04-30 05:41:31+00:00,9009,Java,2520,3041,286,3041,2520,False,149899,"{'Java': '50.12%', 'Objective-C': '28.81%', 'Swift': '19.26%', 'Objective-C++': '1.10%', 'Ruby': '0.46%', 'Shell': '0.25%'}",554,401,153,554,103,7,110,85,646,2015-04-01 06:57:17+00:00,2022-07-25 18:09:16+00:00,10,(),40
googlesamples/easypermissions,easypermissions,googlesamples,https://github.com/googlesamples/easypermissions,Simplify Android M system permissions,2015-12-22 18:05:53+00:00,2024-08-06 23:25:14+00:00,2023-08-01 18:11:12+00:00,635,Java,1458,9846,279,9846,1458,False,125849,{'Java': '100.00%'},357,318,39,357,114,4,118,90,184,2015-12-17 17:05:15+00:00,2021-04-26 11:16:54+00:00,17,"('android', 'android-library', 'permissions')",22
googlesamples/mlkit,mlkit,googlesamples,https://github.com/googlesamples/mlkit,A collection of sample apps to demonstrate how to use Google's ML Kit APIs on Android and iOS,2020-05-28 21:40:38+00:00,2024-08-06 10:20:03+00:00,2024-05-08 06:25:04+00:00,47813,Java,2906,3475,128,3475,2906,False,1961072,"{'Java': '31.48%', 'Kotlin': '28.80%', 'Objective-C': '23.74%', 'Swift': '14.77%', 'Jupyter Notebook': '0.69%', 'Ruby': '0.53%'}",795,653,142,795,71,1,72,35,490,2020-06-03 05:16:44+00:00,2024-04-05 22:35:07+00:00,1,"('barcode', 'barcode-scanner', 'face-detection', 'google', 'image-labeling', 'language-identification', 'ml-kit', 'mlkit', 'mlkit-android', 'object-detection', 'smart-reply', 'text-recognition', 'translation')",13
googlesamples/unity-jar-resolver,unity-jar-resolver,googlesamples,https://github.com/googlesamples/unity-jar-resolver,Unity plugin which resolves Android & iOS dependencies and performs version management,2016-01-14 11:09:11+00:00,2024-08-08 12:19:02+00:00,2024-08-02 22:57:20+00:00,253911,C#,339,1227,68,1227,339,False,1874859,"{'C#': '80.96%', 'Python': '18.64%', 'Shell': '0.40%'}",688,601,87,688,129,11,140,97,973,2015-11-25 02:28:00+00:00,2024-08-02 22:55:38+00:00,1,"('android-dependency', 'android-resolver', 'cocoapods', 'ios-resolver', 'jar-resolver', 'unity', 'unity-android', 'unity-ios', 'unity-package-manager', 'unity-plugin')",51
