full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
googlesamples/identity-appflip-tester-android,identity-appflip-tester-android,googlesamples,https://github.com/googlesamples/identity-appflip-tester-android,Lightweight Android app that simulates the Google app role during App Flip,Java,2019-10-08 18:39:13+00:00,2024-08-06 23:25:22+00:00,2020-08-26 13:36:32+00:00,186,18,18,8,3,16,8,False,10564,{'Java': '100.00%'},6,3,2,1,3,2,7,2019-09-10 19:14:35+00:00,2020-08-25 20:25:04+00:00,1,"['account-linking', 'oauth2', 'authorization', 'authentication', 'android']",2,20240809_144524
googlesamples/identity-appflip-android,identity-appflip-android,googlesamples,https://github.com/googlesamples/identity-appflip-android,Lightweight Android app that simulates your native app role during App Flip,Java,2019-10-08 18:43:05+00:00,2024-07-26 13:58:24+00:00,2020-04-04 07:55:58+00:00,211,34,34,8,2,22,8,True,11042,{'Java': '100.00%'},5,3,2,1,3,2,7,2019-09-10 19:17:46+00:00,2020-03-20 18:26:09+00:00,1,"['account-linking', 'oauth2', 'authorization', 'authentication', 'android']",1,20240809_144525
googlesamples/identity-appflip-ios,identity-appflip-ios,googlesamples,https://github.com/googlesamples/identity-appflip-ios,Lightweight iOS app that simulates your native app role during App Flip,Swift,2019-10-08 18:47:45+00:00,2024-04-26 19:54:33+00:00,2020-08-26 14:41:53+00:00,46,10,10,10,0,9,10,False,4429,{'Swift': '100.00%'},5,5,3,0,3,3,8,2019-09-10 19:18:07+00:00,2020-08-26 14:41:51+00:00,2,"['account-linking', 'oauth2', 'authorization', 'authentication', 'ios']",1,20240809_144526
googlesamples/unity-jar-resolver,unity-jar-resolver,googlesamples,https://github.com/googlesamples/unity-jar-resolver,Unity plugin which resolves Android & iOS dependencies and performs version management,C#,2016-01-14 11:09:11+00:00,2024-08-09 16:40:32+00:00,2024-08-02 22:57:20+00:00,253911,1228,1228,339,87,68,339,False,1874859,"{'C#': '80.96%', 'Python': '18.64%', 'Shell': '0.40%'}",688,601,129,11,140,97,973,2021-10-06 23:42:54+00:00,2024-08-02 22:55:38+00:00,1,"['unity-plugin', 'unity', 'android-resolver', 'ios-resolver', 'jar-resolver', 'android-dependency', 'cocoapods', 'unity-android', 'unity-ios', 'unity-package-manager']",51,20240809_144528
googlesamples/subgraph_sdk_sample,subgraph_sdk_sample,googlesamples,https://github.com/googlesamples/subgraph_sdk_sample,,Kotlin,2022-12-15 03:54:35+00:00,2024-05-30 09:51:23+00:00,2024-03-25 16:29:58+00:00,289,6,6,1,0,3,1,False,11785,{'Kotlin': '100.00%'},0,0,0,0,0,0,14,2022-12-15 21:43:19+00:00,2024-03-25 14:30:16+00:00,1,[],1,20240809_144529
googlesamples/amapi,amapi,googlesamples,https://github.com/googlesamples/amapi,,Kotlin,2021-09-24 15:38:07+00:00,2024-04-08 15:19:09+00:00,2022-02-17 13:52:43+00:00,73,8,8,5,0,8,5,False,13234,{'Kotlin': '100.00%'},0,0,0,0,0,0,2,2021-09-27 16:18:46+00:00,2022-02-16 16:07:04+00:00,1,[],0,20240809_144529
googlesamples/arcore-ml-sample,arcore-ml-sample,googlesamples,https://github.com/googlesamples/arcore-ml-sample,,Java,2021-05-18 13:56:59+00:00,2024-07-16 13:00:17+00:00,2022-02-09 10:50:52+00:00,776,71,71,31,8,10,31,False,136287,"{'Java': '64.34%', 'Kotlin': '31.73%', 'GLSL': '3.93%'}",10,2,0,0,0,0,2,2021-03-15 14:36:50+00:00,2022-02-09 10:50:52+00:00,1,[],1,20240809_144529
googlesamples/task-interop,task-interop,googlesamples,https://github.com/googlesamples/task-interop,,Kotlin,2020-11-16 15:27:53+00:00,2024-07-09 16:34:25+00:00,2024-07-09 16:34:21+00:00,96,6,6,9,0,8,9,False,6427,{'Kotlin': '100.00%'},8,8,7,0,7,4,14,2020-11-16 21:37:07+00:00,2024-07-09 16:34:21+00:00,1,[],3,20240809_144529
googlesamples/gboard-dev-samples,gboard-dev-samples,googlesamples,https://github.com/googlesamples/gboard-dev-samples,,Java,2021-02-03 22:29:17+00:00,2024-06-08 10:34:39+00:00,2021-02-03 23:29:06+00:00,1165,4,4,1,1,6,1,False,9067,{'Java': '100.00%'},1,0,0,0,0,0,5,2021-02-03 22:42:13+00:00,2021-02-03 23:28:40+00:00,1,[],1,20240809_144529
googlesamples/zero-touch-enrollment-colabs,zero-touch-enrollment-colabs,googlesamples,https://github.com/googlesamples/zero-touch-enrollment-colabs,,Jupyter Notebook,2023-08-18 17:50:21+00:00,2024-05-30 10:08:35+00:00,2023-09-27 16:53:44+00:00,13,1,1,1,0,2,1,False,18098,{'Jupyter Notebook': '100.00%'},0,0,0,0,0,0,5,2023-08-18 18:50:22+00:00,2023-09-27 16:53:44+00:00,1,[],1,20240809_144529
googlesamples/arcore-depth-lab,arcore-depth-lab,googlesamples,https://github.com/googlesamples/arcore-depth-lab,ARCore Depth Lab is a set of Depth API samples that provides assets using depth for advanced geometry-aware features in AR interaction and rendering. (UIST 2020),C#,2020-06-16 23:16:30+00:00,2024-08-08 12:20:40+00:00,2024-06-05 20:28:30+00:00,80334,770,770,152,0,35,152,False,316597,"{'C#': '76.52%', 'ShaderLab': '17.87%', 'GLSL': '3.16%', 'HLSL': '2.46%'}",55,55,4,0,4,3,17,2020-06-25 22:43:42+00:00,2024-06-05 20:28:30+00:00,2,"['arcore', 'arcore-unity', 'depth', 'mobile', 'ar', 'interaction', 'depth-api', 'depthlab']",5,20240809_144529
googlesamples/meet-live-sharing,meet-live-sharing,googlesamples,https://github.com/googlesamples/meet-live-sharing,,Java,2022-08-24 18:34:28+00:00,2024-05-30 10:07:03+00:00,2023-10-06 18:21:45+00:00,271,10,10,3,0,8,3,False,104405,"{'Java': '51.91%', 'Swift': '48.09%'}",1,1,1,0,1,1,7,2022-09-16 18:40:08+00:00,2023-10-06 18:21:40+00:00,1,[],1,20240809_144529
googlesamples/glass-enterprise-samples,glass-enterprise-samples,googlesamples,https://github.com/googlesamples/glass-enterprise-samples,Glass Enterprise Edition 2 Samples,Java,2020-01-15 05:41:57+00:00,2024-07-23 19:15:03+00:00,2023-03-15 17:16:51+00:00,733,123,123,93,9,27,93,True,542450,"{'Java': '92.30%', 'Kotlin': '7.09%', 'Python': '0.46%', 'Shell': '0.15%'}",46,37,27,2,29,27,72,2018-10-17 19:50:25+00:00,2023-03-15 17:16:51+00:00,1,[],7,20240809_144529
googlesamples/searchinapps-sample,searchinapps-sample,googlesamples,https://github.com/googlesamples/searchinapps-sample,,Kotlin,2024-03-04 17:10:42+00:00,2024-06-26 19:58:46+00:00,2024-06-26 19:58:42+00:00,161,2,2,2,1,8,2,False,26632,"{'Kotlin': '56.67%', 'Java': '43.33%'}",2,1,1,0,1,0,2,2024-03-04 18:32:25+00:00,2024-06-26 15:47:21+00:00,2,[],0,20240809_144530
googlesamples/engage-sdk-samples,engage-sdk-samples,googlesamples,https://github.com/googlesamples/engage-sdk-samples,"Set of sample apps that demonstrate how to integrate the SDK in your app to publish different types of content. These apps are a great way to learn how to use the SDK, to get started with the integration in your own app, as well as some best practices.",Java,2023-08-25 04:18:25+00:00,2024-05-30 09:34:44+00:00,2024-04-05 17:17:29+00:00,286,4,4,2,1,7,2,False,240386,"{'Java': '50.68%', 'Kotlin': '49.32%'}",3,2,2,1,3,2,9,2023-09-13 15:09:44+00:00,2024-04-05 07:18:39+00:00,2,[],2,20240809_144530
googlesamples/mlkit,mlkit,googlesamples,https://github.com/googlesamples/mlkit,A collection of sample apps to demonstrate how to use Google's ML Kit APIs on Android and iOS,Java,2020-05-28 21:40:38+00:00,2024-08-06 10:20:03+00:00,2024-05-08 06:25:04+00:00,47813,3475,3475,2907,142,128,2907,False,1961072,"{'Java': '31.48%', 'Kotlin': '28.80%', 'Objective-C': '23.74%', 'Swift': '14.77%', 'Jupyter Notebook': '0.69%', 'Ruby': '0.53%'}",795,653,71,1,72,35,490,2022-02-09 02:06:17+00:00,2024-04-05 22:35:07+00:00,1,"['barcode', 'barcode-scanner', 'face-detection', 'image-labeling', 'object-detection', 'text-recognition', 'language-identification', 'translation', 'smart-reply', 'mlkit', 'mlkit-android', 'google', 'ml-kit']",13,20240809_144536
