full_name,owner,html_url,stargazers_count,forks_count,watchers_count,contributors_count,language,size,LOC,first_commit_date,last_commit_date,commits_count,year,month,days,year,month,days,year,month,days,open_issues_count,closed_issues_count,issues_count,open_pulls_count,closed_pulls_count,Total PR,merged_pulls_count,% of open_pulls_count,% of Merged,archived
amazon-kinesis-analytics-streaming-etl,Amazon AWS,https://github.com/aws-samples/amazon-kinesis-analytics-streaming-etl,64,17,12,6,Java,1.981,50.509,28/01/2020,30/08/2023,77,3,7,2,4,6,22,0,11,20,7,17,24,6,16,22,14,"27,27%","87,50%",FALSE
amazon-kinesis-data-analytics-flink-benchmarking-utility,Amazon AWS,https://github.com/aws-samples/amazon-kinesis-data-analytics-flink-benchmarking-utility,20,5,7,5,Java,288,36.343,02/10/2020,30/08/2023,14,2,10,28,3,10,17,0,11,20,1,3,4,0,3,3,3,"0,00%","100,00%",FALSE
amazon-kinesis-data-analytics-snapshot-manager-for-flink,Amazon AWS,https://github.com/aws-samples/amazon-kinesis-data-analytics-snapshot-manager-for-flink,18,6,7,5,Python,329,44.471,27/10/2020,30/08/2023,15,2,10,3,3,9,23,0,11,20,0,3,3,0,3,3,3,"0,00%","100,00%",FALSE
amazon-location-service-pettracker-demo,Amazon AWS,https://github.com/aws-samples/amazon-location-service-pettracker-demo,27,5,5,5,JavaScript,8.329,78.498,21/07/2022,09/08/2024,353,2,0,19,2,0,29,0,0,10,0,63,63,0,54,54,47,"0,00%","87,04%",FALSE
amazon-lookout-for-vision,Amazon AWS,https://github.com/aws-samples/amazon-lookout-for-vision,19,25,6,8,Jupyter Notebook,508.985,96.300,27/01/2021,31/05/2024,28,3,4,4,3,6,23,0,2,19,2,7,9,0,7,7,6,"0,00%","85,71%",FALSE
amazon-lookout-for-vision-demo,Amazon AWS,https://github.com/aws-samples/amazon-lookout-for-vision-demo,29,7,10,6,JavaScript,10.529,58.344,02/12/2020,20/06/2024,111,3,6,18,3,8,17,0,1,30,3,43,46,1,43,44,42,"2,27%","97,67%",FALSE
amazon-rekognition-custom-labels-demo,Amazon AWS,https://github.com/aws-samples/amazon-rekognition-custom-labels-demo,91,42,14,8,JavaScript,8.397,57.296,24/03/2020,18/06/2024,197,4,2,25,4,4,26,0,2,1,0,61,61,0,60,60,57,"0,00%","95,00%",FALSE
amazon-rekognition-engagement-meter,Amazon AWS,https://github.com/aws-samples/amazon-rekognition-engagement-meter,57,22,14,8,JavaScript,4.363,33.413,06/06/2019,18/06/2024,253,5,0,12,5,2,13,0,2,1,0,101,101,0,93,93,89,"0,00%","95,70%",FALSE
amazon-rekognition-ppe,Amazon AWS,https://github.com/aws-samples/amazon-rekognition-ppe,35,20,10,7,Python,37.387,9.196,24/12/2020,18/06/2024,259,3,5,25,3,7,26,0,2,1,0,93,93,0,88,88,81,"0,00%","92,05%",FALSE
amazon-rekognition-serverless-large-scale-image-and-video-processing,Amazon AWS,https://github.com/aws-samples/amazon-rekognition-serverless-large-scale-image-and-video-processing,34,20,9,5,Python,4.006,83.978,08/04/2021,31/05/2024,41,3,1,23,3,4,11,0,2,19,8,13,21,7,11,18,7,"38,89%","63,64%",FALSE
amazon-rekognition-virtual-proctor,Amazon AWS,https://github.com/aws-samples/amazon-rekognition-virtual-proctor,81,89,9,7,JavaScript,7.404,44.053,01/03/2021,18/06/2024,178,3,3,17,3,5,18,0,2,1,0,70,70,0,68,68,65,"0,00%","95,59%",FALSE
amazon-s3-multipart-upload-transfer-acceleration,Amazon AWS,https://github.com/aws-samples/amazon-s3-multipart-upload-transfer-acceleration,65,18,4,5,JavaScript,2.637,25.656,23/01/2023,30/07/2024,49,1,6,7,1,6,27,0,0,20,0,26,26,0,23,23,23,"0,00%","100,00%",FALSE
amazon-s3-resumable-upload,Amazon AWS,https://github.com/aws-samples/amazon-s3-resumable-upload,163,90,27,5,Go,174.734,82.163,15/04/2020,23/06/2024,220,4,2,8,4,4,4,0,1,27,0,22,22,0,2,2,2,"0,00%","100,00%",FALSE
amazon-sagemaker-amazon-routing-challenge-sol,Amazon AWS,https://github.com/aws-samples/amazon-sagemaker-amazon-routing-challenge-sol,55,13,7,5,Python,2.040,52.654,26/04/2022,05/06/2024,44,2,1,10,2,3,24,0,2,14,1,7,8,1,6,7,5,"14,29%","83,33%",FALSE
amazon-sagemaker-endpoint-deployment-of-siamese-network-with-torchserve,Amazon AWS,https://github.com/aws-samples/amazon-sagemaker-endpoint-deployment-of-siamese-network-with-torchserve,12,4,7,5,Jupyter Notebook,9.379,49.649,26/05/2022,25/02/2024,27,1,8,30,2,2,24,0,5,25,2,10,12,2,10,12,9,"16,67%","90,00%",FALSE
amazon-sagemaker-mlflow-fargate,Amazon AWS,https://github.com/aws-samples/amazon-sagemaker-mlflow-fargate,139,76,28,5,Jupyter Notebook,914,26.306,03/12/2020,18/06/2024,42,3,6,15,3,8,16,0,2,1,5,21,26,3,14,17,9,"17,65%","64,29%",FALSE
amazon-translate-pdf,Amazon AWS,https://github.com/aws-samples/amazon-translate-pdf,9,3,5,5,Java,161.862,13.971,26/10/2021,12/07/2024,36,2,8,16,2,9,24,0,1,7,1,8,9,1,8,9,8,"11,11%","100,00%",FALSE
amazon-workspaces-portal-sample,Amazon AWS,https://github.com/aws-samples/amazon-workspaces-portal-sample,30,20,6,5,Python,59,36.569,05/11/2018,16/05/2024,29,5,6,11,5,9,14,0,3,3,0,3,3,0,3,3,3,"0,00%","100,00%",FALSE
android-custom-lint-rules,Google Android,https://github.com/googlesamples/android-custom-lint-rules,949,170,38,14,Kotlin,5.925,17.848,16/10/2017,18/07/2024,116,6,9,2,6,10,3,0,1,1,22,70,92,2,55,57,49,"3,51%","89,09%",FALSE
aoai-net-starterkit,Microsoft Azure,https://github.com/Azure-Samples/aoai-net-starterkit,57,12,13,6,C#,8.438,14.857,20/09/2023,30/06/2024,35,0,9,10,0,10,30,0,1,20,1,15,16,0,14,14,14,"0,00%","100,00%",FALSE
api-management-schema-import,Microsoft Azure,https://github.com/Azure-Samples/api-management-schema-import,15,13,28,8,C#,684,59.986,06/10/2021,16/05/2024,83,2,7,10,2,10,13,0,3,3,2,21,23,0,19,19,18,"0,00%","94,74%",FALSE
app-service-dotnet-access-key-vault-by-msi-for-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-access-key-vault-by-msi-for-web-apps,6,5,23,10,C#,28.164,62.173,13/02/2018,17/01/2024,36,5,11,4,6,6,6,0,7,2,2,12,14,2,12,14,3,"14,29%","25,00%",FALSE
app-service-dotnet-configure-deployment-sources-for-functions,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-configure-deployment-sources-for-functions,4,2,22,12,C#,28.230,23.645,11/04/2017,17/01/2024,42,6,9,6,7,4,8,0,7,2,3,11,14,2,11,13,2,"15,38%","18,18%",FALSE
app-service-dotnet-configure-deployment-sources-for-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-configure-deployment-sources-for-web-apps,1,11,24,11,C#,28.258,20.979,20/12/2016,17/01/2024,62,7,0,28,7,7,30,0,7,2,3,17,20,2,17,19,12,"10,53%","70,59%",FALSE
app-service-dotnet-configure-deployment-sources-for-web-apps-async,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-configure-deployment-sources-for-web-apps-async,0,2,22,11,C#,28.238,19.046,11/04/2017,17/01/2024,39,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-configure-deployment-sources-for-web-apps-on-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-configure-deployment-sources-for-web-apps-on-linux,0,1,22,11,C#,28.203,20.413,11/04/2017,17/01/2024,32,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-deploy-image-from-acr-to-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-deploy-image-from-acr-to-linux,0,2,22,10,C#,28.253,51.310,16/06/2017,17/01/2024,33,6,7,1,7,2,3,0,7,2,2,10,12,2,10,12,1,"16,67%","10,00%",FALSE
app-service-dotnet-manage-authentication-for-functions,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-authentication-for-functions,2,3,23,11,C#,28.209,24.354,11/04/2017,17/01/2024,34,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-authentication-for-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-authentication-for-web-apps,2,5,22,11,C#,28.204,21.313,11/04/2017,17/01/2024,32,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-data-connections-for-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-data-connections-for-web-apps,0,6,23,10,C#,28.209,18.561,28/12/2016,17/01/2024,39,7,0,20,7,7,22,0,7,2,2,14,16,2,14,16,3,"12,50%","21,43%",FALSE
app-service-dotnet-manage-data-connections-for-web-apps-on-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-data-connections-for-web-apps-on-linux,0,2,22,11,C#,28.203,18.364,11/04/2017,17/01/2024,33,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-functions,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-functions,3,2,23,11,C#,28.201,17.516,11/04/2017,17/01/2024,29,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-functions-with-custom-domains,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-functions-with-custom-domains,1,2,22,11,C#,28.204,10.270,11/04/2017,17/01/2024,32,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-logs-for-function-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-logs-for-function-apps,2,3,22,8,C#,28.134,13.403,13/02/2018,17/01/2024,22,5,11,4,6,6,6,0,7,2,2,10,12,2,10,12,1,"16,67%","10,00%",FALSE
app-service-dotnet-manage-staging-and-production-slots-for-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-staging-and-production-slots-for-web-apps,3,4,23,10,C#,28.205,14.322,20/12/2016,17/01/2024,36,7,0,28,7,7,30,0,7,2,2,13,15,2,13,15,3,"13,33%","23,08%",FALSE
app-service-dotnet-manage-storage-connections-for-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-storage-connections-for-web-apps,2,4,23,10,C#,28.207,16.422,20/12/2016,17/01/2024,39,7,0,28,7,7,30,0,7,2,2,14,16,2,14,16,4,"12,50%","28,57%",FALSE
app-service-dotnet-manage-storage-connections-for-web-apps-on-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-storage-connections-for-web-apps-on-linux,0,1,22,11,C#,28.202,17.494,11/04/2017,17/01/2024,32,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-web-apps,8,7,24,10,C#,28.203,16.080,20/12/2016,17/01/2024,33,7,0,28,7,7,30,0,7,2,2,14,16,2,13,15,3,"13,33%","23,08%",FALSE
app-service-dotnet-manage-web-apps-on-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-web-apps-on-linux,0,5,22,11,C#,28.202,16.075,06/04/2017,17/01/2024,30,6,9,11,7,4,13,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-web-apps-on-linux-with-custom-domains,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-web-apps-on-linux-with-custom-domains,2,1,22,10,C#,28.202,18.555,06/04/2017,17/01/2024,29,6,9,11,7,4,13,0,7,2,3,11,14,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-web-apps-with-custom-domains,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-web-apps-with-custom-domains,8,3,23,9,C#,28.201,18.526,20/12/2016,17/01/2024,31,7,0,28,7,7,30,0,7,2,2,14,16,2,13,15,3,"13,33%","23,08%",FALSE
